Cache miss: -74.1796875,41.484375,-73.828125,41.8359375, Tile: x: 301, y: 374, z: 9, time: 0.247502088547
Cache miss: -74.53125,41.484375,-74.1796875,41.8359375, Tile: x: 300, y: 374, z: 9, time: 0.151833057404
Cache miss: -74.8828125,41.484375,-74.53125,41.8359375, Tile: x: 299, y: 374, z: 9, time: 0.235563993454
Cache miss: -75.9375,41.484375,-75.5859375,41.8359375, Tile: x: 296, y: 374, z: 9, time: 0.164644956589
Cache miss: -75.5859375,41.484375,-75.234375,41.8359375, Tile: x: 297, y: 374, z: 9, time: 0.197311162949
Cache miss: -75.9375,41.1328125,-75.5859375,41.484375, Tile: x: 296, y: 373, z: 9, time: 0.233006000519
Cache miss: -75.234375,41.484375,-74.8828125,41.8359375, Tile: x: 298, y: 374, z: 9, time: 0.285066127777
Cache miss: -75.9375,40.78125,-75.5859375,41.1328125, Tile: x: 296, y: 372, z: 9, time: 0.280912876129
Cache miss: -75.9375,40.078125,-75.5859375,40.4296875, Tile: x: 296, y: 370, z: 9, time: 0.227461099625
Cache miss: -75.9375,40.4296875,-75.5859375,40.78125, Tile: x: 296, y: 371, z: 9, time: 0.250401973724
Cache miss: -75.9375,39.7265625,-75.5859375,40.078125, Tile: x: 296, y: 369, z: 9, time: 0.255786895752
Cache miss: -75.5859375,39.7265625,-75.234375,40.078125, Tile: x: 297, y: 369, z: 9, time: 0.253550052643
Cache miss: -75.234375,39.7265625,-74.8828125,40.078125, Tile: x: 298, y: 369, z: 9, time: 0.22899889946
Cache miss: -74.8828125,39.7265625,-74.53125,40.078125, Tile: x: 299, y: 369, z: 9, time: 0.267161130905
Cache miss: -74.53125,39.7265625,-74.1796875,40.078125, Tile: x: 300, y: 369, z: 9, time: 0.170840024948
Cache miss: -74.1796875,39.7265625,-73.828125,40.078125, Tile: x: 301, y: 369, z: 9, time: 0.222353935242
Cache miss: -72.7734375,39.7265625,-72.421875,40.078125, Tile: x: 305, y: 369, z: 9, time: 0.235617160797
Cache miss: -73.828125,39.7265625,-73.4765625,40.078125, Tile: x: 302, y: 369, z: 9, time: 0.413574934006
Cache miss: -73.4765625,39.7265625,-73.125,40.078125, Tile: x: 303, y: 369, z: 9, time: 0.364779949188
Cache miss: -73.125,39.7265625,-72.7734375,40.078125, Tile: x: 304, y: 369, z: 9, time: 0.345849990845
Cache miss: -72.7734375,40.078125,-72.421875,40.4296875, Tile: x: 305, y: 370, z: 9, time: 0.286994934082
Cache miss: -72.7734375,40.4296875,-72.421875,40.78125, Tile: x: 305, y: 371, z: 9, time: 0.239260911942
Cache miss: -72.7734375,41.484375,-72.421875,41.8359375, Tile: x: 305, y: 374, z: 9, time: 0.261672973633
Cache miss: -72.7734375,41.8359375,-72.421875,42.1875, Tile: x: 305, y: 375, z: 9, time: 0.267271995544
Cache miss: -73.4765625,41.8359375,-73.125,42.1875, Tile: x: 303, y: 375, z: 9, time: 0.25688290596
Cache miss: -72.7734375,41.1328125,-72.421875,41.484375, Tile: x: 305, y: 373, z: 9, time: 0.374314069748
Cache miss: -73.125,41.8359375,-72.7734375,42.1875, Tile: x: 304, y: 375, z: 9, time: 0.32784986496
Cache miss: -72.7734375,40.78125,-72.421875,41.1328125, Tile: x: 305, y: 372, z: 9, time: 0.396489143372
Cache miss: -73.828125,41.8359375,-73.4765625,42.1875, Tile: x: 302, y: 375, z: 9, time: 0.147720813751
Cache miss: -74.8828125,41.8359375,-74.53125,42.1875, Tile: x: 299, y: 375, z: 9, time: 0.170171976089
Cache miss: -74.53125,41.8359375,-74.1796875,42.1875, Tile: x: 300, y: 375, z: 9, time: 0.202460050583
Cache miss: -75.234375,41.8359375,-74.8828125,42.1875, Tile: x: 298, y: 375, z: 9, time: 0.207076072693
Cache miss: -74.1796875,41.8359375,-73.828125,42.1875, Tile: x: 301, y: 375, z: 9, time: 0.278453111649
Cache miss: -75.5859375,41.8359375,-75.234375,42.1875, Tile: x: 297, y: 375, z: 9, time: 0.190399169922
Cache miss: -75.9375,41.8359375,-75.5859375,42.1875, Tile: x: 296, y: 375, z: 9, time: 0.182107925415
Cache miss: -72.421875,41.484375,-72.0703125,41.8359375, Tile: x: 306, y: 374, z: 9, time: 0.17449593544
Cache miss: -72.421875,41.8359375,-72.0703125,42.1875, Tile: x: 306, y: 375, z: 9, time: 0.228401184082
Cache miss: -72.421875,40.78125,-72.0703125,41.1328125, Tile: x: 306, y: 372, z: 9, time: 0.154663801193
Cache miss: -72.421875,40.078125,-72.0703125,40.4296875, Tile: x: 306, y: 370, z: 9, time: 0.165451049805
